file,issue,row,col,original,cleaned
contractor_bills\SATTI_APTS_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,12,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,13,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,14,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,15,rate,Net Payable:,
contractor_bills\SATTI_APTS_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,16,rate,Approved:,
contractor_bills\SATTI_APTS_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_APTS_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_APTS_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,11,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,12,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,13,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,14,rate,Net Payable:,
contractor_bills\SATTI_APTS_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,15,rate,Approved:,
contractor_bills\SATTI_APTS_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,10,rate,TBD,
contractor_bills\SATTI_APTS_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_APTS_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_APTS_C003_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C003_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C003_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C003_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C003_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C003_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C003_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C003_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C003_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C003_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,13,rate,TBD,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_APTS_C004_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,7,amount,TBD,
contractor_bills\SATTI_APTS_C004_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C004_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C004_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C004_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C004_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C004_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,11,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C004_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,12,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C004_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,13,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C004_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,Net Payable:,
contractor_bills\SATTI_APTS_C004_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Approved:,
contractor_bills\SATTI_APTS_C004_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,8,amount,TBD,
contractor_bills\SATTI_APTS_C005_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,11,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C005_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,12,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C005_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,13,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C005_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,Net Payable:,
contractor_bills\SATTI_APTS_C005_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Approved:,
contractor_bills\SATTI_APTS_C005_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,12,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C005_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,13,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C005_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C005_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,Net Payable:,
contractor_bills\SATTI_APTS_C005_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Approved:,
contractor_bills\SATTI_APTS_C005_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,amount,TBD,
contractor_bills\SATTI_APTS_C006_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,13,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C006_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C006_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C006_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Net Payable:,
contractor_bills\SATTI_APTS_C006_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Approved:,
contractor_bills\SATTI_APTS_C006_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C006_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C006_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C006_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_APTS_C006_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_APTS_C006_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C006_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C006_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C006_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C006_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C007_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C007_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C007_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C007_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_APTS_C007_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_APTS_C007_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C007_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C007_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C007_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_APTS_C007_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_APTS_C007_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C007_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C007_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C007_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C007_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C007_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,8,amount,TBD,
contractor_bills\SATTI_APTS_C008_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C008_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C008_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C008_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C008_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C008_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,10,amount,TBD,
contractor_bills\SATTI_APTS_C008_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C008_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C008_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C008_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_APTS_C008_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_APTS_C008_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,8,amount,TBD,
contractor_bills\SATTI_APTS_C008_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,11,rate,This Bill Amount:,
contractor_bills\SATTI_APTS_C008_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,12,rate,Previous Payments:,
contractor_bills\SATTI_APTS_C008_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,13,rate,Retention (10%):,
contractor_bills\SATTI_APTS_C008_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,Net Payable:,
contractor_bills\SATTI_APTS_C008_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Approved:,
contractor_bills\SATTI_MALL_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,19,rate,Net Payable:,
contractor_bills\SATTI_MALL_C001_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,20,rate,Approved:,
contractor_bills\SATTI_MALL_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_MALL_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_MALL_C001_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,amount,TBD,
contractor_bills\SATTI_MALL_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,18,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,19,rate,Net Payable:,
contractor_bills\SATTI_MALL_C001_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,20,rate,Approved:,
contractor_bills\SATTI_MALL_C001_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,11,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C001_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,12,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C001_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,13,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C001_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,14,rate,Net Payable:,
contractor_bills\SATTI_MALL_C001_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,15,rate,Approved:,
contractor_bills\SATTI_MALL_C001_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,14,amount,TBD,
contractor_bills\SATTI_MALL_C001_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,12,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C001_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,13,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C001_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,14,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C001_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,15,rate,Net Payable:,
contractor_bills\SATTI_MALL_C001_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,16,rate,Approved:,
contractor_bills\SATTI_MALL_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,19,rate,Net Payable:,
contractor_bills\SATTI_MALL_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,20,rate,Approved:,
contractor_bills\SATTI_MALL_C002_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,9,amount,TBD,
contractor_bills\SATTI_MALL_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_MALL_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_MALL_C002_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,amount,TBD,
contractor_bills\SATTI_MALL_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,13,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,14,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,15,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,16,rate,Net Payable:,
contractor_bills\SATTI_MALL_C002_RunBill_03.xlsx,UNPARSEABLE_AMOUNT,17,rate,Approved:,
contractor_bills\SATTI_MALL_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,15,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,16,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,17,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,18,rate,Net Payable:,
contractor_bills\SATTI_MALL_C002_RunBill_04.xlsx,UNPARSEABLE_AMOUNT,19,rate,Approved:,
contractor_bills\SATTI_MALL_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,13,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,14,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,15,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,16,rate,Net Payable:,
contractor_bills\SATTI_MALL_C002_RunBill_05.xlsx,UNPARSEABLE_AMOUNT,17,rate,Approved:,
contractor_bills\SATTI_MALL_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,12,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,13,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,14,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,15,rate,Net Payable:,
contractor_bills\SATTI_MALL_C002_RunBill_06.xlsx,UNPARSEABLE_AMOUNT,16,rate,Approved:,
contractor_bills\SATTI_MALL_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,14,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,15,rate,Previous Payments:,
contractor_bills\SATTI_MALL_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,16,rate,Retention (10%):,
contractor_bills\SATTI_MALL_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,17,rate,Net Payable:,
contractor_bills\SATTI_MALL_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,18,rate,Approved:,
contractor_bills\SATTI_MALL_C003_RunBill_01.xlsx,UNPARSEABLE_AMOUNT,9,amount,TBD,
contractor_bills\SATTI_MALL_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,13,rate,This Bill Amount:,
contractor_bills\SATTI_MALL_C003_RunBill_02.xlsx,UNPARSEABLE_AMOUNT,14,rate,Previous Payments:,
