row_no,item_code,description,qty,rate,amount,gst,total,_source_file,_folder,_project,unit,unit_2
,,,,,1182952.72,,,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_04_BILL08905.xlsx,purchase_bills,SATTI_APTS,,
Invoice #,BILL-12-424,Vendor:,Al-Rehman Hardware,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
Project,SATTI_APTS,Date:,12/12/17,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
1,PIP-GI-1,GI PIPE 1IN,466/-,190.0,88635.0,15067.95,103702.95,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
2,STEEL BAR 16,REBAR-16MM,321.2,128.0,41113.6,6989.31,48102.91,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
3,GLS-CLR-6,6mm Clear Glass,479.4,224.0,107385.6,18255.55,125641.15,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
4,TIL-CER12,Ceramic Floor Tile 12x12,159/-,95.0,15114.5,2569.0,17683.97,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
5,CLASS A BRICK,BRK-A,353.8,15643.0,5534493.4,,5534493.4,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
,,,,,5829624.38,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,ASIF,,,,,,,purchase_bills\SATTI_APTS_Bill_05_BILL-12-424.xlsx,purchase_bills,SATTI_APTS,,
Invoice #,BILL17135,Vendor:,,,,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,Al-Rehman Hardware,
Project,SATTI_APTS,Date:,,,,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,"October 15, 2017",
1,ENAMEL WH.,Oil Paint (White) 4Ltr,,1881.0,312810.3,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,166.3,
2,IMP_MARBLE_W,MRB-IMP,,656.0,319537.6,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,487.1,
3,GRAVEL-3/4,coarse agg,,50.0,17430.0,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,348.6,
4,GENERATOR 25KVA,25KVA Genset,,835331.0,138748479.1,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,166.1,
5,RED BRICK A-GRADE,Class A Brick,,14609.0,2441163.9,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,167.1,
6,PIP-GI-1,PIP-GI1,,177.0,58781.7,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,332.1,
7,WC-STD,toilet_std,,13173.0,5245488.6,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,398.2,
,,,,,171210244.79,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,,,,,,,,purchase_bills\SATTI_APTS_Bill_06_BILL17135.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL08873,,Date: 06/07/2015,,,,,,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Metro Plumbing Supplies,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-PLZ-9092,,,,,,,,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
1,CEM_OPC_50,Cement Bag 50Kg,330.7,1085.0,358809.5,60997.62,419807.12,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
2,STEEL BAR 12,STL-RB12,229.9,127.0,29197.3,,29197.0,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
3,"C.AGG 3/4""",AGG-CRS34,357.5,51.0,18232.0,,18232.5,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
,,,,,467236.92,,,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,KAMRAN,,,,,,,purchase_bills\SATTI_APTS_Bill_07_BILL08873.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL 15 530,,Date: 2018/02/04,,,,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Al-Rehman Hardware,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-APT-1549,,,,,,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
1,MRB-IMP-W,MAR-W-IMP,129.8,704.0,91379.2,15534.46,106913.66,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
2,SAND-RIVER,SND-RV,134.3,37.0,4969.1,845.0,5813.85,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
3,STL-RB16,rebar 5/8 inch,377.6,136.0,,8730.11,60083.71,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
4,WIRE-3/029,3/0.029 Copper Wire,31,54.0,1674.0,284.58,1958.58,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
5,REBAR-12MM,STL-RB12,267.6,127.0,33985.2,5777.48,39762.68,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
6,COARSE AGG,"C.Agg 3/4""",180.1,61.0,10986.1,,10986.1,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
7,GI_PIPE_2INCH,"G.I.Pipe 2""",233.2,326.0,76023.2,12923.94,88947.14,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
8,CBL-ARM-95,AC-95sq,9.2,740.0,6808.0,1157.36,7965.36,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
9,OPC 50 KG,OPC Cement 50kg Bag,33.2,977.0,32436.4,,32436.4,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
10,COPWIRE7,WIR-CP7,191.1,,19683.3,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
,,,,,374550.78,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_08_BILL 15 530.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL 14 709,,Date: 22-Dec-2016,,,,,,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Allied Cables & Wires,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-PLZ-2753,,,,,,,,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
1,CEM-OPC-50,Cement Bag 50Kg,78.7,990.0,77913.0,,77913.0,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
2,IMP_MARBLE_W,Marble Wht,470.3,678.0,318863.4,54206.78,373070.0,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
3,COPPER WIRE 7/.029,7/0.029 Copper Wire,285.8,107.0,30580.6,5198.7,35779.0,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
4,GLASS-6MM,6mm Clear Glass,421.4,237.0,99871.8,16978.21,116850.01,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
,,,,,603612.49,,,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_09_BILL 14 709.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL-18-449,,,Date: 23/03/2016,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Karachi Sanitary Depot,,Project: SATTI_APTS,,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-MALL-684,,,,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,
1,,Armoured Cable 95,arm_cable_95,,24957.7,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,PKR 901
2,,Bajri 3/4,coarse agg,,5101.5,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,89.5,57
3,,PIP-GI2,"G.I.Pipe 2""",,58652.0,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,172,341.0
4,,CEMENT-50,CEM-OPC50,,374484.1,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,383.3,977.0
5,,Steel Bar 16,STL-RB16,,35091.8,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,222/-,158
6,,PAI-OIL-W,White Oil Paint 4L,,69030.0,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,45,1534
7,,25KVA Genset,gen_25kva,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,67.8,848280
8,,M20 Concrete,CNC-M20,,156240.0,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,360,434
9,,PLY-MR12,12mm MR Plywood Sheet,,1240901.0,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,493.4,2515
10,,S.Bar 12mm,S.Bar 12mm,,12204.0,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,108.0,113
,,,,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,Grand Total:
,,,,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,Payment Status:
Prepared by:,,Asif,,,,,,purchase_bills\SATTI_APTS_Bill_10_BILL-18-449.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL 12 215,,Date: 27/07/2016,,,,,,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Fazal Bricks & Tiles,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-PLZ-7524,,,,,,,,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
1,S.BAR 16MM,STL-RB16,317.9,160.0,50864.0,8646.88,59510.88,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
2,SAN-WC,WC-STD,113.8,11732.0,1335101.6,226967.27,1562068.87,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
3,BAJRI 3/4,coarse agg,247.2,63.0,15573.6,2647.51,18221.11,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
4,GI_PIPE_1INCH,PIP-GI1,446.5,185.0,82602.5,14042.0,96644.93,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
5,GLS-CLR-6,Clear Glass 6,267.9,219.0,58670.1,,58670.1,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
6,CEM_OPC_50,Cement Bag 50Kg,475.2,845.0,401544.0,68262.48,469806.48,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
7,GEN_25KVA,Generator 25KVA,17.1,937130.0,16024923.0,,16024923.0,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
8,SAND (FINE),River Sand,430.9,30.0,12927.0,,12927.0,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
9,AL_WINDOW_4,al_window_4,398.3,15751.0,6273623.0,1066515.96,7340139.26,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
10,PIP-GI-2,"G.I.Pipe 2""",,321.0,59706.0,10150.02,69856.02,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
,,,,,25712767.65,,,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,NASIR,,,,,,,purchase_bills\SATTI_APTS_Bill_11_BILL 12 215.xlsx,purchase_bills,SATTI_APTS,,
Invoice #,BILL/11/329,Vendor:,National Paint House,,,,,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
Project,SATTI_APTS,Date:,29/08/2016,,,,,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
1,BRICKS_A,BRK-A,250.7,15575.0,3904652.5,663790.93,4568443.43,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
2,RETI (RIVER),Sand (Fine),324.1,33.0,10695.3,1818.2,12513.5,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
3,WIRE_7029,WIRE-7/029,245.6,100.0,24560.0,4175.2,28735.2,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
4,CNC-M20,Ready Mix M20,189.1,393.0,74316.3,,74316.3,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
,,,,,4684008.43,,,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,KAMRAN,,,,,,,purchase_bills\SATTI_APTS_Bill_12_BILL_11_329.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL/08/244,,Date: 2015/05/24,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Al-Rehman Hardware,PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-PLZ-9513,,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
1,"A.WIN 4""",Alum Window 4ft,450.6,12931.0,5826708.6,990540.46,6817249.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
2,WIRE_3029,WIR-CP3,293.8,50.0,14690.0,,14690.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
3,AGG-CRS-34,coarse agg,200.2,55.0,11011.0,,11011.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
4,CLEAR GLASS 6,GLASS-6MM,196.1,188.0,36866.8,6267.36,43134.16,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
5,PLYWOOD 12MM MR,Plywood 12mm MR,147.9,2402.0,355255.8,,355255.8,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
6,PAI-OIL,OIL-PAINT-W,240/-,1998.0,479320.2,,479320.0,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
7,REBAR-16MM,rebar 5/8 inch,91.6,,12640.8,2148.94,14789.74,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
,,,,,7735449.96,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
Prepared by:,TARIQ,,,,,,,purchase_bills\SATTI_APTS_Bill_13_BILL_08_244.xlsx,purchase_bills,SATTI_APTS,,
Bill No: BILL16758,,Date: 02-Jun-2016,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
Vendor: Siemens Pakistan (Electro),PROJECT: SATTI_APTS,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
PO Ref: PO-MALL-140,,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
1,CLASS A BRICK,bricks_a,72.1,12586.0,907450.6,154266.6,1061717.2,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
2,PAINT_OIL_W,PAI-OIL,384.4,1629.0,626187.6,106451.89,732639.49,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
3,GEN_25KVA,gen_25kva,345.7,834813.0,288594854.1,49061125.2,337655979.3,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
4,STL-RB12,12mm Steel Rebar,112.8,130.0,14664.0,,14664.0,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
5,WIRE_7029,CopWire7,352.6,104.0,36670.4,6234.0,42904.37,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
6,CEM-OPC50,Cement Bag 50Kg,445.4,978.0,435601.0,,435601.2,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
7,WIRE_3029,WIR-CP3,345.6,52.0,17971.2,3055.1,21026.0,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
8,ARMOURED CABLE 95,95mm² Armoured Cable,102.2,731.0,74708.2,,74708.0,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
9,GLS-CLR-6,6mm Clear Glass,392.3,,97290.4,16539.0,113829.77,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
10,RIVER_SAND,SAND-RIVER,179.3,39.0,6993.0,,6992.7,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
,,,,,340160062.53,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
,,,,,,,,purchase_bills\SATTI_APTS_Bill_14_BILL16758.xlsx,purchase_bills,SATTI_APTS,,
