date,description,debit,credit,balance,ref_no,_source_file,_folder,_project
2014-05-21,Salary,1788200.0,,-4893810.02,REF99897,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2014-09-27,Security Deposit,,,-4430619.34,REF95039,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2014-10-08,Cheque Clearance,,,-6130970.95,REF15521,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2015-02-18,Advance,,252720.76,-5878250.19,REF33832,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2015-02-24,Cheque Clearance,572857.76,,-6451107.95,REF31825,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2015-04-06,Salary,,125216.87,-6325891.08,REF13380,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2015-04-29,Vendor Payment,,335654.65,-5990236.43,REF57929,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2015-10-11,Transfer,1481562.64,,-7471799.07,REF12549,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2016-05-31,Security Deposit,,1901664.91,-5570134.16,REF54910,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2016-12-26,Cheque Clearance,906644.09,,-6476778.25,REF11847,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2017-04-15,Running Bill,,1398450.42,-5078327.83,REF16928,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2017-07-26,Online Transfer,1809858.87,,,REF50149,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2018-04-05,Utility Bill,1591335.28,,-8479521.98,REF19332,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2018-04-19,Vendor Payment,,,-7964464.13,REF94603,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2018-05-22,DD Issued,670043.0,,-8634507.18,REF94051,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2018-05-25,Ref PO-APT-6124,944428.14,,-9578935.32,REF35022,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
2018-11-09,DD Issued,,1522177.99,-8056757.33,REF98113,bank_statements\BankStatement_HBL_345678.xlsx,bank_statements,SATTI_MALL
Account: MCB-9988776655  –  Operations Account,,,,,,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
Generated: 01/09/2018,,,,,,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-01-05,Running Bill,1979524.73,,-523406.78,REF94989,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-01-10,Petty Cash,,1327558.73,804151.95,REF69153,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-01-23,Transfer,1520407.87,,-716255.92,REF43805,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-04-07,Contractor Bill,563280.02,,-1279535.94,REF48236,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-08-19,Advance,,1360188.87,80652.93,REF90295,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-09-26,Utility Bill,,1579040.04,1659692.97,REF79936,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-10-14,Running Bill,,754071.42,2413764.0,REF70005,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2006-11-19,Online Transfer,,1600077.17,4013841.56,REF46049,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-01-29,DD Issued,,,5045342.16,REF98321,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-02-22,DD Issued,662071.33,,4383270.83,REF41914,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-02-24,Contractor Bill,,1473538.36,5856809.0,REF77905,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-03-16,Transfer,,142569.81,5999379.0,REF82601,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-03-26,Advance,,1193312.13,7192691.13,REF75546,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-04-22,Ref PO-APT-3353,1318500.06,,5874191.07,REF11089,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-07-06,Material Purchase,313237.1,,5560953.97,REF74925,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2007-11-13,DD Issued,,,4890395.97,REF73474,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-01-21,Contractor Bill,204847.28,,4685548.69,REF99533,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-04-21,Vendor Payment,,,5246350.36,REF69725,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-04-27,Utility Bill,1095739.0,,4150611.35,REF70032,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-05-19,Utility Bill,95791.17,,4054820.18,REF65551,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2008-08-28,Ref PO-APT-8594,,856287.14,4911107.32,REF78778,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-05-02,Material Purchase,587094.92,,4324012.4,REF40880,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-05-27,Security Deposit,1221142.95,,3102869.45,REF10427,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-09-01,Running Bill,,870493.46,3973362.91,REF86208,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-10-29,Contractor Bill,499142.26,,3474220.65,REF79204,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-12-09,Transfer,1208481.6,,2265739.0,REF57204,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2009-12-17,Petty Cash,,273070.18,2538809.23,REF13699,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2011-01-17,Advance,505394.06,,2033415.17,REF27109,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2011-01-27,Petty Cash,,483303.63,,REF95271,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2011-02-25,Material Purchase,,135744.15,2652462.95,REF64836,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2012-05-23,Advance,1613161.46,,1039301.49,REF34380,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2012-05-25,Transfer,1516833.98,,-477532.49,REF55444,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2012-06-25,Running Bill,1027685.27,,-1505217.76,REF20473,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2012-08-02,Salary,1257329.05,,-2762546.81,REF96870,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2013-05-07,Petty Cash,866149.77,,-3628696.58,REF89393,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2013-10-21,Material Purchase,1074176.89,,-4702873.47,REF15826,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2014-02-14,DD Issued,,1679630.43,-3023243.0,REF31965,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2014-03-26,DD Issued,34524.39,,-3057767.43,REF68001,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2014-05-08,DD Issued,,1090734.98,-1967032.45,REF71760,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2014-05-14,Salary,758059.37,,-2725091.82,REF68829,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2014-07-05,Transfer,,875825.42,-1849266.4,REF39080,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2014-12-24,Cheque Clearance,,1626718.39,-222548.01,REF35280,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2015-04-01,Ref PO-PLZ-8287,1608635.73,,-1831184.0,REF53331,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2015-07-11,Vendor Payment,1411732.04,,-3242915.78,REF93365,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2015-11-14,Material Purchase,,,-4344866.74,REF29974,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2015-12-06,Security Deposit,1816575.37,,-6161442.11,REF85870,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-02-29,Material Purchase,,1966144.9,-4195297.21,REF83127,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-06-25,Ref PO-APT-7003,,720010.54,-3475286.67,REF94531,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-07-08,Online Transfer,1682976.37,,-5158263.04,REF77488,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-07-27,Security Deposit,,1492509.67,-3665753.37,REF91736,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-07-27,Running Bill,,326906.58,-3338846.79,REF67370,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-08-15,Ref PO-MALL-4018,,847057.99,-2491788.8,REF87702,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-10-03,Cheque Clearance,320160.0,,-2811948.87,REF52340,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2016-11-24,Petty Cash,1888165.3,,-4700114.0,REF25378,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2017-02-18,DD Issued,,998099.28,-3702014.89,REF91861,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2017-07-16,DD Issued,,1096681.0,-2605334.15,REF38633,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2017-09-18,Cheque Clearance,1616424.74,,-4221758.89,REF74356,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2018-04-16,Running Bill,,142684.64,-4079074.25,REF70644,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2018-06-15,Running Bill,1796049.91,,-5875124.16,REF58214,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2018-09-06,Salary,1793205.31,,-7668329.0,REF25038,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2018-10-19,DD Issued,1780293.13,,-9448622.6,REF51018,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
2018-12-27,Cheque Clearance,,1793872.29,-7654750.31,REF75617,bank_statements\BankStatement_MCB_776655.xlsx,bank_statements,SATTI_MALL
Account: Meezan-1122334455  –  Project Account – Plaza,,,,,,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
Generated: 01/09/18,,,,,,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-03-08,Online Transfer,1289805.0,,347168.2,REF57246,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-03-20,Petty Cash,1144986.0,,,REF97910,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-06-30,Contractor Bill,1928487.02,,-2726304.81,REF66497,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-07-30,Cheque Clearance,,978623.0,-1747681.66,REF81808,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-08-01,Material Purchase,231187.85,,-1978869.51,REF24681,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-08-09,Utility Bill,318617.46,,-2297486.97,REF74630,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-10-09,Vendor Payment,,950023.77,-1347463.2,REF30119,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-11-14,Petty Cash,,919001.35,-428461.85,REF61691,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-11-20,Security Deposit,995429.0,,-1423890.63,REF98059,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2006-11-27,Petty Cash,,631599.03,-792291.6,REF85147,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-02-20,Petty Cash,,412343.0,-379948.85,REF89630,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-04-10,Ref PO-PLZ-6607,,1725462.2,1345513.35,REF42482,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-05-07,DD Issued,59527.0,,1285986.0,REF74943,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-05-16,Advance,,,-26286.49,REF14013,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-07-17,Material Purchase,1779215.17,,-1805501.66,REF35257,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-11-16,Security Deposit,,487568.25,-1317933.41,REF28630,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-09,Ref PO-APT-2416,,1826755.09,508821.68,REF45959,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-09,Online Transfer,,226026.81,734848.49,REF50739,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-14,DD Issued,1502231.03,,-767382.54,REF74099,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-16,Advance,,1682535.0,915152.04,REF40852,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-27,Utility Bill,1038244.78,,-123092.74,REF44832,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2007-12-27,Transfer,1533681.14,,-1656773.88,REF32106,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-01-10,DD Issued,75595.0,,-1732369.34,REF45304,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-01-21,Security Deposit,879385.35,,-2611754.69,REF18970,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-01-26,Vendor Payment,,,-2849161.92,REF21708,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-07-21,Running Bill,1497282.95,,-4346444.87,REF55958,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-08-08,DD Issued,797074.84,,-5143519.71,REF40339,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-08-12,Material Purchase,534568.01,,-5678087.72,REF51256,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2008-11-18,Utility Bill,1133638.0,,-6811726.07,REF10910,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-01-15,Salary,1910606.82,,-8722332.89,REF78506,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-01-21,Security Deposit,1814287.09,,-10536619.98,REF68329,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-03-05,DD Issued,,781767.15,-9754852.83,REF86143,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-05-05,Material Purchase,,902511.94,-8852340.89,REF21145,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-05-19,Contractor Bill,,722061.96,-8130278.93,REF44029,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-06-14,Petty Cash,,1894436.11,-6235842.82,REF34748,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-08-26,Security Deposit,,,-4609751.76,REF84765,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-09-11,Material Purchase,,,-3938319.12,REF43434,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-09-17,Salary,,856066.0,-3082253.33,REF72387,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-10-12,Cheque Clearance,,,-2374150.0,REF11570,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-11-12,Ref PO-APT-1195,,1485229.36,-888920.93,REF86016,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-11-17,Advance,1502772.0,,-2391692.93,REF37899,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-12-11,Online Transfer,,845702.64,-1545990.29,REF99589,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2009-12-13,Contractor Bill,890467.08,,-2436457.37,REF93395,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-03-01,Vendor Payment,1904125.52,,-4340582.89,REF84223,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-03-25,Ref PO-PLZ-2946,1398002.9,,-5738585.79,REF42141,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-06-29,Ref PO-APT-3409,300353.57,,-6038939.36,REF71849,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-07-14,Contractor Bill,,1317211.43,-4721727.93,REF64336,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-07-17,Contractor Bill,1274790.0,,-5996518.09,REF27025,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-07-28,Vendor Payment,,130433.85,-5866084.24,REF46384,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-07-29,Contractor Bill,,5056.1,-5861028.14,REF49412,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-08-03,Contractor Bill,764267.55,,-6625295.69,REF85571,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2010-10-22,Advance,,345751.31,-6279544.38,REF81646,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-01-08,Cheque Clearance,,1940166.32,-4339378.06,REF83343,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-03-26,Cheque Clearance,,991658.4,-3347719.66,REF29271,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-03-29,Utility Bill,1862911.53,,-5210631.19,REF14036,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-04-23,Online Transfer,332828.21,,-5543459.4,REF63993,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-05-14,DD Issued,861325.1,,-6404784.5,REF57317,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-06-06,Salary,805619.56,,-7210404.0,REF11818,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-08-15,Petty Cash,,945300.72,-6265103.34,REF73886,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-09-03,Security Deposit,1263395.79,,-7528499.13,REF86027,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-11-17,Online Transfer,1601296.36,,-9129795.49,REF87839,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2011-11-17,DD Issued,,870952.87,-8258842.62,REF33068,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-05-01,Utility Bill,1704991.84,,-9963834.46,REF65976,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-05-19,Salary,553077.16,,-10516911.62,REF45579,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
2012-05-29,Material Purchase,7981.31,,-10524892.93,REF17996,bank_statements\BankStatement_Meezan Bank_334455.xlsx,bank_statements,SATTI_MALL
