row_no,item_code,description,unit,unit_2,nan,_source_file,_folder,_project,rate,remarks,valid_till,
9,AGG-CRS-34,AGG-CRS34,cft,50,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
10,BRK-A,Class-A Red Brick,1000,13761,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
11,M20 CONCRETE,M20 Ready Mix Concrete,cft,479,bulk discount avail.,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
12,ARMOURED CABLE 95,CBL-ARM95,mtr,943,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
13,GLASS-6MM,Clear Glass 6,sft,206,subject to change,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
14,WIRE_3029,Copper Wire 3/.029,mtr,49,,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
15,W.C. STD.,WC-STD,nos,10839,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
16,COPWIRE7,WIR-COP-7,mtr,TBD,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
17,"G.I.PIPE 1""","1"" GI Pipe",rft,204,negotiable,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
18,CEMENT BAG 50KG,cem_opc_50,bag,974,inclusive GST,vendor_price_lists\V002_Al-Rehman_Hardware_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Crown Cement Pvt Ltd,,,,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03211234567   City: Islamabad,,,,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 2010/12/16,,,,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,WIR-CP3,WIRE-3/029,mtr,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,49.0,negotiable,,
2,SND-RV,Sand (Fine),cft,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,33.0,bulk discount avail.,,
3,6MM CLEAR GLASS,GLS-CLR-6,sft,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,229.0,,,
4,RMC_M20,RMC-M20,cft,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,377.0,subject to change,,
5,STL-RB-12,S.Bar 12mm,kg,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,146.0,bulk discount avail.,,
6,PLYWOOD 12MM MR,PLY-MR12,sht,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,1898.0,bulk discount avail.,,
7,WC-STD,SAN-WC,nos,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13183.0,inclusive GST,,
8,COPPER WIRE 7/.029,CopWire7,mtr,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,102.0,,,
9,AGG-CRS34,Bajri 3/4,cft,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,47.0,inclusive GST,,
10,AC-95SQ,AC-95sq,mtr,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,929.0,bulk discount avail.,,
11,STL-RB-16,rebar 5/8 inch,kg,,,vendor_price_lists\V003_Crown_Cement_Pvt_Ltd_PriceList.xlsx,vendor_price_lists,SATTI_MALL,128.0,ex-works,,
Tariq & Sons Electricals,,,,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03311234567   City: Rawalpindi,,,,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 01/01/2010,,,,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,CLASS-A RED BRICK,Red Brick A-Grade,1000,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13518.0,inclusive GST,,
2,TOILET_STD,toilet_std,nos,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13201.0,subject to change,,
3,PAI-OIL-W,Enamel Wh.,tin,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,2027.0,subject to change,,
4,PLYWD-12,MR Ply 12,sht,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,2074.0,ex-works,,
5,MRB-IMP,White Marble Imp.,sft,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,714.0,subject to change,,
6,WIRE-3/029,Copper Wire 3/.029,mtr,,,vendor_price_lists\V004_Tariq_&_Sons_Electricals_PriceList.xlsx,vendor_price_lists,SATTI_MALL,56.0,inclusive GST,,
Metro Plumbing Supplies,,,,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03411234567   City: Lahore,,,,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 2012/03/24,,,,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,BAJRI 3/4,Bajri 3/4,cft,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,61.0,,subject to change,
2,STL-RB12,STL-RB12,kg,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,136.0,,bulk discount avail.,
3,REBAR 5/8 INCH,STL-RB16,kg,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,126.0,,negotiable,
4,PIP-GI-2,"G.I.Pipe 2""",rft,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,276.0,,negotiable,
5,ALUM WINDOW 4FT,al_window_4,nos,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,15870.0,,ex-works,
6,WIR-CP3,wire_3029,mtr,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,61.0,,bulk discount avail.,
7,TOILET_STD,Commode Standard,nos,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,12975.0,,,
8,TILE-12X12,TILE-12X12,sft,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,95.0,,,
9,AC-95SQ,CBL-ARM95,mtr,,,vendor_price_lists\V005_Metro_Plumbing_Supplies_PriceList.xlsx,vendor_price_lists,SATTI_MALL,739.0,,negotiable,
National Paint House,,,,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03511234567   City: Karachi,,,,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 26/09/13,,,,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,WIRE_7029,WIR-CP7,mtr,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,105.0,negotiable,,
2,TOILET_STD,toilet_std,nos,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13111.0,ex-works,,
3,ALM-WIN-4,ALU-WIN4,nos,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13974.0,inclusive GST,,
4,REBAR-12MM,rebar 1/2 inch,kg,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,120.0,,,
5,TIL-CER12,TILE-12X12,sft,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,89.0,subject to change,,
6,SND-RV,SND-RV,cft,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,39.0,,,
7,MR PLY 12,PLY-MR12,sht,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,2177.0,inclusive GST,,
8,MARBLE WHT,Marble Wht,sft,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,601.0,inclusive GST,,
9,GI PIPE 1IN,gi_pipe_1inch,rft,,,vendor_price_lists\V006_National_Paint_House_PriceList.xlsx,vendor_price_lists,SATTI_MALL,190.0,ex-works,,
Fazal Bricks & Tiles,,,,,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03611234567   City: Rawalpindi,,,,,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 13/06/2010,,,,,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,CLEAR GLASS 6,6mm_glass,sft,227,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
2,BAJRI 3/4,AGG-CRS34,cft,53,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
3,WC-STD,toilet_std,nos,10663,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
4,RIVER_SAND,SND-RV,cft,37,ex-works,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
5,WIRE-7/029,WIR-CP7,mtr,92,subject to change,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
6,COPWIRE3,WIRE-3/029,mtr,54,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
7,TILE-12X12,TILE-12X12,sft,78,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
8,"A.WIN 4""",ALM-W4,nos,13158,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
9,GI_PIPE_2INCH,gi_pipe_2inch,rft,290.0,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
10,OIL-PAINT-W,Oil Paint (White) 4Ltr,tin,1912.0,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
11,GALVPIPE-1,PIP-GI1,rft,187,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
12,WHITE MARBLE IMP.,White Marble Imp.,sft,TBD,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
13,GEN-25KVA,25 KVA Generator,nos,"921,702/-",subject to change,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
14,M20 CONCRETE,RMC-M20,cft,368,negotiable,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
15,STEEL BAR 16,STL-RB16,kg,152,ex-works,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
16,REBAR 1/2 INCH,REBAR-12MM,kg,133/-,subject to change,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
17,CEM_OPC_50,CEM-OPC50,bag,883/-,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
18,PLYWOOD 12MM MR,PLY-MR-12,sht,2167,inclusive GST,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
19,ARMD-CBL-95,AC-95sq,mtr,942/-,,vendor_price_lists\V007_Fazal_Bricks_&_Tiles_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Siemens Pakistan (Electro),,,,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03711234567   City: Islamabad,,,,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
"Date: March 25, 2018",,,,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,GENERATOR 25KVA,GENSET-25,nos,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,814871.0,subject to change,,
2,CBL-ARM-95,AC-95sq,mtr,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,932.0,bulk discount avail.,,
3,"A.WIN 4""",Alum Window 4ft,nos,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,negotiable,,
4,GLS-CLR-6,Clear Glass 6,sft,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,210.0,subject to change,,
5,CEMENT BAG 50KG,cem_opc_50,bag,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,949.0,ex-works,,
6,COPPER WIRE 3/.029,3/0.029 Copper Wire,mtr,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,52.0,bulk discount avail.,,
7,STL-RB-12,S.Bar 12mm,kg,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,144.0,,,
8,"G.I.PIPE 1""",GalvPipe-1,rft,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,177.0,inclusive GST,,
9,WHITE OIL PAINT 4L,Enamel Wh.,tin,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,1792.0,subject to change,,
10,SND-RV,SAND-RIVER,cft,,,vendor_price_lists\V008_Siemens_Pakistan_(Electro)_PriceList.xlsx,vendor_price_lists,SATTI_MALL,36.0,,,
Bismillah Timber Mart,,,,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03811234567   City: Rawalpindi,,,,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 09/05/2015,,,,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,W.C. STD.,Commode Standard,nos,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,13870.0,ex-works,,
2,MR PLY 12,Plywood 12mm MR,sht,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,2171.0,,,
3,25KVA GENSET,GEN-25K,nos,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,1051464.0,inclusive GST,,
4,COPPER WIRE 7/.029,Copper Wire 7/.029,mtr,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,109.0,subject to change,,
5,STL-RB-12,STL-RB12,kg,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,130.0,bulk discount avail.,,
6,AGG-CRS-34,coarse agg,cft,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,62.0,,,
7,PAI-OIL,Oil Paint (White) 4Ltr,tin,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,1784.0,inclusive GST,,
8,GLS-CLR-6,GLASS-6MM,sft,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,243.0,ex-works,,
9,COPPER WIRE 3/.029,CopWire3,mtr,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,47.0,subject to change,,
10,CNC-M20,rmc_m20,cft,,,vendor_price_lists\V009_Bismillah_Timber_Mart_PriceList.xlsx,vendor_price_lists,SATTI_MALL,368.0,bulk discount avail.,,
Super Steel & Iron Works,,,,,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03911234567   City: Lahore,,,,,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
"Date: September 24, 2008",,,,,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
1,WHITE MARBLE IMP.,MAR-W-IMP,sft,619,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
2,GRAVEL-3/4,coarse agg,cft,52,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
3,GI PIPE 2IN,"2"" GI Pipe",rft,316,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
4,SHEESHA 6MM,Clear Glass 6,sft,242,bulk discount avail.,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
5,WIRE-7/029,WIR-CP7,mtr,99,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
6,CBL-ARM95,AC-95sq,mtr,883,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
7,CNC-RDY-M20,M20 Concrete,cft,403.0,inclusive GST,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
8,PLY-MR12,PLY-MR12,sht,2389,inclusive GST,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
9,STL-RB12,REBAR-12MM,kg,146,bulk discount avail.,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
10,GEN-25KVA,25KVA Genset,nos,1081925.0,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
11,COMMODE STANDARD,toilet_std,nos,11997,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
12,ALU-WIN4,"A.Win 4""",nos,15583,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
13,CEM-OPC-50,cem_opc_50,bag,PKR 874,negotiable,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
14,ENAMEL WH.,Oil Paint (White) 4Ltr,tin,1873,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
15,BRK-A,Class-A Red Brick,1000,15874,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
16,FLOOR_TILE_12,TIL-CER12,sft,82,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
17,COPWIRE3,wire_3029,mtr,59,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
18,RETI (RIVER),SAND-RIVER,cft,30,ex-works,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
19,REBAR-16MM,16mm Steel Rebar,kg,160,subject to change,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
20,PIP-GI1,"1"" GI Pipe",rft,204,,vendor_price_lists\V010_Super_Steel_&_Iron_Works_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Green Marble & Granite,,,,,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Contact: 03001112233   City: Islamabad,,,,,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
Date: 24/06/2005,,,,,,vendor_price_lists\V011_Green_Marble_&_Granite_PriceList.xlsx,vendor_price_lists,SATTI_MALL,,,,
