row_no,description,unit,rate,rate_2,rate_3,recommended,_source_file,_folder,_project,rate_4,rate_5
1,PAI-OIL,tin,1774.0,2004.0,1771.0,National Paint House,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
2,floor_tile_12,sft,81.0,85.0,88.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
3,AC-95sq,mtr,903.0,,869.0,National Paint House,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
4,GEN-25K,nos,926368.0,,1054405.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
5,Steel Bar 16,kg,130.0,159.0,148.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
Prepared by:,Asif,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_APTS,,
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
Date: 21/12/2017,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
1,OPC Cement 50kg Bag,bag,1056.0,958.0,1068.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
2,Ceramic Floor Tile 12x12,sft,75.0,95.0,87.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
3,BRK-A,1000,12992.0,13234.0,11990.0,Pak Steel Traders,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
4,"G.I.Pipe 1""",rft,199.0,174.0,174.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
5,CBL-ARM95,mtr,929.0,965.0,877.0,Pak Steel Traders,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
6,"2"" GI Pipe",rft,323.0,328.0,347.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
7,GLASS-6MM,sft,190.0,191.0,189.0,Pak Steel Traders,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
8,CopWire3,mtr,55.0,53.0,61.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
Prepared by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_APTS,,
Project: SATTI_APTS,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,,
Date: 03/11/2017,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,,
1,PAI-OIL,tin,2062.0,1796.0,1706.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,1867.0,1985.0
2,rebar 5/8 inch,kg,129.0,,144.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,126.0,
3,95mm² Armoured Cable,mtr,751.0,940.0,897.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,798.0,816.0
4,"G.I.Pipe 1""",rft,196.0,167.0,156.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,198.0,193.0
5,Commode Standard,nos,14326.0,11533.0,11973.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,11996.0,13743.0
6,WIRE-7/029,mtr,82.0,95.0,82.0,National Paint House,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,102.0,103.0
7,MAR-W-IMP,sft,780.0,,626.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,654.0,664.0
8,"Cer.Tile 12""",sft,73.0,90.0,96.0,Bismillah Timber Mart,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,72.0,
9,gen_25kva,nos,969108.0,918005.0,1024252.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,1074510.0,915555.0
10,GLS-CLR6,sft,194.0,193.0,227.0,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,208.0,204.0
11,cem_opc_50,bag,971.0,828.0,811.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,1023.0,1027.0
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,,
Approved by:,,,,,,,quotation_comparisons\SATTI_APTS_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_APTS,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 22/10/2006,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,,
1,TIL-CER12,sft,79.0,78.0,73.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,74.0,
2,GLS-CLR6,sft,238.0,252.0,222.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,208.0,
3,GalvPipe-1,rft,171.0,203.0,161.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,172.0,
4,M20 Concrete,cft,396.0,362.0,455.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,450.0,
5,95mm² Armoured Cable,mtr,798.0,885.0,879.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,853.0,
6,rebar 5/8 inch,kg,156.0,132.0,120.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,140.0,
7,ALM-W4,nos,16015.0,12656.0,16131.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,13516.0,
8,BRK-A,1000,13355.0,15458.0,12220.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,15785.0,
9,Generator 25KVA,nos,,995949.0,906126.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,816173.0,
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 05-Nov-2007,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,,
1,ALU-WIN4,nos,12928.0,16122.0,12848.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,14139.0,
2,CEMENT-50,bag,1024.0,872.0,887.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,826.0,
3,WIR-CP7,mtr,104.0,86.0,102.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,98.0,
4,6mm_glass,sft,202.0,207.0,248.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,232.0,
5,PLYWD-12,sht,2009.0,2046.0,2241.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,,
6,Reti (River),cft,36.0,33.0,32.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,37.0,
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_02.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 06-28-2006,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,,
1,Plywood 12mm MR,sht,2368.0,2385.0,2137.0,Bismillah Timber Mart,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,2162.0,
2,MAR-W-IMP,sft,752.0,632.0,692.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,617.0,
3,STL-RB12,kg,124.0,141.0,133.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,122.0,
4,Ready Mix M20,cft,359.0,455.0,480.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,444.0,
5,Class-A Red Brick,1000,12812.0,13695.0,14098.0,Siemens Pakistan (Electro),quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,12528.0,
6,WIRE-7/029,mtr,88.0,88.0,106.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,102.0,
Prepared by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_03.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 02-May-2007,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
1,Steel Bar 16,kg,160.0,122.0,154.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
2,25KVA Genset,nos,1077055.0,917210.0,816426.0,Crown Cement Pvt Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
3,ARMD-CBL-95,mtr,842.0,825.0,908.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
4,Oil Paint (White) 4Ltr,tin,1688.0,1894.0,1699.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
5,"1"" GI Pipe",rft,179.0,162.0,190.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
6,Cement Bag 50Kg,bag,1036.0,928.0,975.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
7,WIR-CP3,mtr,54.0,48.0,56.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
8,"Cer.Tile 12""",sft,84.0,96.0,93.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
9,CopWire7,mtr,108.0,97.0,105.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
10,gi_pipe_2inch,rft,298.0,288.0,318.0,National Paint House,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
11,Red Brick A-Grade,1000,13127.0,13360.0,15169.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
Prepared by:,Site Engineer,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_04.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 03/07/06,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,,
1,Class A Brick,1000,,14979.0,15673.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,13183.0,12766.0
2,25KVA Genset,nos,971581.0,850023.0,840249.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,1069615.0,863048.0
3,PLYWD-12,sht,2164.0,2206.0,2422.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,2490.0,2031.0
4,Enamel Wh.,tin,1704.0,1932.0,1880.0,Hafiz Glass & Aluminum,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,1960.0,1798.0
5,"Cer.Tile 12""",sft,72.0,84.0,90.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,,82.0
6,PIP-GI2,rft,347.0,300.0,296.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,356.0,356.0
7,S.Bar 12mm,kg,137.0,127.0,123.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,142.0,149.0
8,6mm Clear Glass,sft,232.0,223.0,247.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,213.0,198.0
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_05.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 03-16-2007,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
1,MRB-IMP,sft,631.0,756.0,597.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
2,OPC Cement 50kg Bag,bag,1040.0,917.0,1084.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
3,ply_mr_12mm,sht,2289.0,2284.0,2326.0,Fazal Bricks & Tiles,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
4,GENSET-25,nos,,1082900.0,1067844.0,Al-Rehman Hardware,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
5,CopWire3,mtr,61.0,63.0,52.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
6,"G.I.Pipe 1""",rft,199.0,202.0,169.0,Green Marble & Granite,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
7,Coarse Aggregate 3/4 inch,cft,52.0,47.0,58.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
8,gi_pipe_2inch,rft,352.0,301.0,338.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
Prepared by:,Site Engineer,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_06.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_MALL,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,,
Date: 17/04/2007,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,,
1,river_sand,cft,37.0,36.0,37.0,Pioneer Generators Ltd,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,40.0,31.0
2,PLY-MR12,sht,2489.0,2155.0,1970.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,2429.0,2466.0
3,arm_cable_95,mtr,747.0,750.0,750.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,835.0,859.0
4,"Tile 12x12""",sft,79.0,92.0,89.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,89.0,95.0
5,Coarse Aggregate 3/4 inch,cft,55.0,51.0,55.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,55.0,57.0
6,Standard WC/Commode,nos,12674.0,11347.0,13773.0,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,10750.0,11046.0
7,GalvPipe-1,rft,165.0,181.0,176.0,Super Steel & Iron Works,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,185.0,205.0
8,Class A Brick,1000,14847.0,13656.0,15935.0,Allied Cables & Wires,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,15733.0,15704.0
9,CNC-M20,cft,421.0,443.0,428.0,Bismillah Timber Mart,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,,415.0
10,GLASS-6MM,sft,226.0,208.0,198.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,225.0,202.0
11,REBAR-12MM,kg,127.0,130.0,115.0,Karachi Sanitary Depot,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,124.0,146.0
Prepared by:,PM,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,,
Approved by:,,,,,,,quotation_comparisons\SATTI_MALL_Quotation_Comparison_07.xlsx,quotation_comparisons,SATTI_MALL,,
Project: SATTI_PLAZA,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
Date: 03-08-2013,,,,,,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
1,WIRE-3/029,mtr,52.0,55.0,52.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
2,Class-A Red Brick,1000,14076.0,14561.0,15430.0,Metro Plumbing Supplies,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
3,TILE-12X12,sft,87.0,,83.0,Tariq & Sons Electricals,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
4,WIR-CP7,mtr,91.0,93.0,94.0,,quotation_comparisons\SATTI_PLAZA_Quotation_Comparison_01.xlsx,quotation_comparisons,SATTI_PLAZA,,
