doc_no,pv-sat-001,date:,"april_26,_2016",_source_file,_folder,_project,pv-sat-002,09-25-2017,pv-sat-003,09/05/2018,pv-sat-004,10-30-2016,pv-sat-005,10/03/2016,date,vendor,amount,mode,bank,project,remarks,pv-sat-008,"december_31,_2017",pv-sat-009,02/04/2016,pv-sat-010,"november_17,_2017",pv-sat-011,25-jan-2016,pv-sat-012,23-mar-2015,pv-sat-013,03-feb-2018,pv-sat-014,24/07/2016,cheque,pv-sat-016,"october_07,_2015",pv-sat-017,11/05/2016,pv-sat-021,11/12/2016,pv-sat-022,19.06.2016,30/07/07,05-09-2006,pv-sat-006,"may_07,_2007",12-01-2007,"october_18,_2007",13/10/07,10-28-2007,16/07/2006,04.01.2007,01/11/2011,07-apr-2013,16-aug-2012,11-14-2011,pv-sat-007,09-05-2013,30/01/12,2013/11/19,06-30-2013,25/11/2012,pv-sat-015,2013/07/16,19.10.2011,2013/08/26,pv-sat-023,"december_19,_2011",pv-sat-024,05/07/2013,pv-sat-028,"may_30,_2013",pv-sat-029,17/03/2012
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,2277528.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,"Rupees 2,277,528 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,NEFT,MCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_005.xlsx,payment_vouchers,SATTI_APTS,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-006,,,,payment_vouchers\SATTI_APTS_PayVoucher_006.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,2015-07-15,Qamar Civil Engineers,1346655.17,NEFT,Allied,SATTI_APTS,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV-SAT-007,,,,payment_vouchers\SATTI_APTS_PayVoucher_007.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,2015-08-04,Tariq & Sons Electricals,2488314.37,,MCB,SATTI_APTS,Need receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,National Paint House,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,635652.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,"Rupees 635,652 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_008.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,Green Marble & Granite,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,1866163.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,"Rupees 1,866,163 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,DD,HBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,Advance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_009.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,Bilal Tiles & Flooring,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,1872946.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,"Rupees 1,872,946 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,DD,MCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_010.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,Ahmad & Bros Construction,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,2051964.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,"Rupees 2,051,964 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,Cheque,HBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,CHQ-736473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,Utility Bills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_011.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,Crown Cement Pvt Ltd,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,680,123 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,NEFT,Meezan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,Material Purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,Director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_012.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,Allied Cables & Wires,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,1743372.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,743,372 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAY MODE:,,Bank:,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,NEFT,MCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEQUE #:,,,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PURPOSE:,,,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,Material Purchase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APPROVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Satti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RECEIVED BY:,,,,payment_vouchers\SATTI_APTS_PayVoucher_013.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,________________________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAID TO:,,Project:,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hafiz Glass & Aluminum,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMOUNT (RS.):,,,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,1918950.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN WORDS:,,,,payment_vouchers\SATTI_APTS_PayVoucher_014.xlsx,payment_vouchers,SATTI_APTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rupees 1,918,950 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
