row_no,item_code,description,unit,opening_stock,received,issued,balance,remarks,_source_file,_folder,_project,credit,debit,closing_stock,nan,
14,SND-RVR,river_sand,cft,172.4,81.5,192.7,61.2,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
15,REBAR 5/8 INCH,S.Bar 16mm,kg,173.1,124.4,127.0,170.5,Reorder,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Jul2016.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: July 2017,,,,,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,,,,,
1,CEM-OPC-50,OPC 50 KG,bag,147.1,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,50.8,,185.0,,
2,COPPER WIRE 7/.029,7/0.029 Copper Wire,mtr,39.3,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,,72.0,10.0,OK,
3,TIL-CER-12,TILE-12X12,sft,59.4,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,225.0,152.0,132.8,Surplus,
4,GI_PIPE_1INCH,GI PIPE 1IN,rft,132.7,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,156.4,132.0,157.1,Reorder,
5,MAR-W-IMP,Imported White Marble,sft,156.6,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,371.0,97.0,430.6,,
6,CNC-M20,M20 Ready Mix Concrete,cft,83.4,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,342.2,398.0,27.7,Surplus,
7,WHITE OIL PAINT 4L,Enamel Wh.,tin,123.2,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,8.6,118.0,13.8,OK,
8,WIR-CP3,wire_3029,mtr,24.7,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,267.8,122.1,170.4,Surplus,
9,SHEESHA 6MM,Clear Glass 6,sft,34.1,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,391.1,355.3,69.9,Reorder,
10,"C.AGG 3/4""",Coarse Aggregate 3/4 inch,cft,149.2,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,5.6,88.0,66.8,Reorder,
11,SAN-WC,toilet_std,nos,125.5,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,25.0,30.2,119.9,Reorder,
12,STEEL BAR 16,rebar 5/8 inch,kg,147.0,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,127.0,52.4,222.0,Reorder,
13,SAND (FINE),River Sand,cft,66.2,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,498.0,499.0,65.1,,
14,PLYWOOD 12MM MR,12mm MR Plywood Sheet,sht,57.6,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,14.3,56.9,15.0,Reorder,
15,BRICK-CLA,Class A Brick,1000,190.9,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,200.0,382.6,7.9,,
16,"A.WIN 4""",al_window_4,nos,101.0,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,218.0,307.0,11.8,Reorder,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Jul2017.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: July 2018,,,,,,,,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
1,PLYWD-12,PLY-MR12,sht,158.1,243.4,96.4,305.1,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
2,READY MIX M20,CNC-M20,cft,27.0,269.2,79.9,215.9,OK,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
3,BRK-CLS-A,BRICK-CLA,1000,37.9,301.8,309.4,30.3,Surplus,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
4,"TILE 12X12""",TIL-CER12,sft,62.7,356.1,304.5,114.3,Reorder,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
5,AGG-CRS-34,AGG-CRS34,cft,141.0,427.0,506.1,61.7,Reorder,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
6,REBAR 5/8 INCH,REBAR-16MM,kg,112.1,76.7,155.6,33.2,Surplus,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
7,ENAMEL WH.,White Oil Paint 4L,tin,162.0,473.0,449.3,185.7,Surplus,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
8,GENERATOR 25KVA,25 KVA Generator,nos,,63.1,10.0,70.4,OK,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
9,SND-RV,Reti (River),cft,16.5,54.1,34.5,36.1,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
10,COPPER WIRE 3/.029,WIRE-3/029,mtr,90.3,132.1,139.9,82.5,Reorder,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
11,CBL-ARM-95,95mm² Armoured Cable,mtr,104.2,398.6,345.7,157.0,Surplus,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
12,WIR-CP7,CopWire7,mtr,193.3,343.6,77.5,459.4,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
13,GALVPIPE-1,"G.I.Pipe 1""",rft,102.6,390.2,264.7,228.1,OK,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
14,MRB-IMP-W,MAR-W-IMP,sft,132.4,122.0,62.0,,OK,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
15,"G.I.PIPE 2""","2"" GI Pipe",rft,39.1,254.1,257.6,36.0,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
16,CLEAR GLASS 6,Sheesha 6mm,sft,133.0,217.7,340.6,10.1,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Jul2018.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: March 2015,,,,,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,,,,,
1,STEEL BAR 12,REBAR-12MM,kg,173.5,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,176.0,32.4,316.6,,
2,PLY-MR-12,ply_mr_12mm,sht,,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,21.8,67.5,,Surplus,
3,READY MIX M20,RMC-M20,cft,127.9,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,496.2,391.0,233.0,,
4,CEM-OPC50,CEMENT-50,bag,126.7,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,32.0,80.4,78.2,,
5,WIRE_3029,CopWire3,mtr,68.9,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,497.7,91.8,474.8,,
6,STL-RB16,16mm Steel Rebar,kg,3.0,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,476.1,305.9,,Surplus,
7,"CER.TILE 12""",TIL-CER12,sft,51.9,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,402.5,205.0,249.4,,
8,GI PIPE 2IN,"G.I.Pipe 2""",rft,176.8,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,345.2,421.1,100.9,Reorder,
9,SHEESHA 6MM,Clear Glass 6,sft,51.1,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,360.2,223.2,188.1,Reorder,
10,GI PIPE 1IN,GalvPipe-1,rft,13.1,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,190.4,87.3,116.2,,
11,SAND (FINE),SAND-RIVER,cft,101.3,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,393.3,277.7,216.9,Surplus,
12,COMMODE STANDARD,Commode Standard,nos,43.2,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,489.3,442.0,90.6,Surplus,
13,RED BRICK A-GRADE,Class A Brick,1000,0.9,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,253.9,155.2,99.6,,
14,"C.AGG 3/4""","C.Agg 3/4""",cft,50.4,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,121.9,168.1,4.2,Reorder,
15,AC-95SQ,ARMD-CBL-95,mtr,64.0,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,,93.1,0.5,,
16,PAI-OIL,OIL-PAINT-W,tin,,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,493.0,318.2,209.1,Surplus,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Mar2015.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: March 2016,,,,,,,,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
1,SAND (FINE),Sand (Fine),cft,,47.1,41.3,34.8,OK,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
2,COARSE AGG,Coarse Aggregate 3/4 inch,cft,89.3,292.0,376.8,4.2,Surplus,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
3,BRICKS_A,bricks_a,1000,104.1,126.0,132.7,97.4,Reorder,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
4,CNC-M20,M20 Ready Mix Concrete,cft,98.1,55.2,83.7,69.6,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
5,AL_WINDOW_4,"A.Win 4""",nos,20.4,470.2,474.9,15.7,Reorder,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
6,GLS-CLR6,6mm Clear Glass,sft,198.6,100.1,28.1,270.6,OK,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
7,REBAR 1/2 INCH,12mm Steel Rebar,kg,83.7,152.5,97.0,139.2,OK,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
8,GALVPIPE-1,GalvPipe-1,rft,118.0,290.4,,169.0,OK,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
9,GEN-25KVA,25KVA Genset,nos,15.4,495.6,177.9,333.1,OK,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
10,WIR-COP-3,WIR-CP3,mtr,15.4,307.0,169.9,152.5,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
11,CBL-ARM95,Armoured Cable 95,mtr,134.5,300.7,326.3,108.9,Surplus,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
12,MRB-IMP,Marble Wht,sft,119.5,293.0,312.9,99.6,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
13,STL-RB16,REBAR-16MM,kg,155.4,446.0,63.7,537.7,Reorder,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
14,SAN-WC-STD,W.C. Std.,nos,147.8,490.7,605.7,,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
15,CEM-OPC50,cem_opc_50,bag,37.6,405.5,53.8,389.3,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
16,"TILE 12X12""",floor_tile_12,sft,50.3,117.0,52.5,114.7,Surplus,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
17,MR PLY 12,ply_mr_12mm,sht,147.4,387.6,332.6,202.4,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Mar2016.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: March 2017,,,,,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,,,,,
1,STL-RB16,rebar 5/8 inch,kg,150.0,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,393.6,477.4,66.2,Surplus,
2,25KVA GENSET,GENSET-25,nos,5.0,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,436.1,9.9,431.2,Surplus,
3,ARMD-CBL-95,95mm² Armoured Cable,mtr,15.2,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,377.2,300.8,92.0,,
4,ALM-WIN-4,al_window_4,nos,170.2,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,369.2,429.5,109.9,Reorder,
5,MAR-W-IMP,MRB-IMP,sft,105.1,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,479.3,194.9,,OK,
6,AGG-CRS34,Bajri 3/4,cft,86.0,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,15.9,69.7,32.0,Surplus,
7,FLOOR_TILE_12,"Tile 12x12""",sft,15.7,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,30.0,11.2,34.5,,
8,GALVPIPE-2,gi_pipe_2inch,rft,100.4,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,296.0,158.1,238.1,Reorder,
9,SAND (FINE),Reti (River),cft,157.5,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,138.3,126.1,169.7,,
10,WIRE_3029,Copper Wire 3/.029,mtr,102.2,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,334.5,122.6,314.1,Surplus,
11,GLS-CLR6,Sheesha 6mm,sft,122.8,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,370.2,351.0,142.0,,
12,PLY-MR-12,PLYWD-12,sht,144.0,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,,342.0,152.4,Reorder,
13,BRICK-CLA,BRICK-CLA,1000,167.6,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,340.2,316.0,191.0,,
14,CEM-OPC-50,OPC 50 KG,bag,77.7,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,16.1,45.5,48.3,Reorder,
15,WIRE_7029,CopWire7,mtr,67.9,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,130.6,,139.1,Reorder,
16,GALVPIPE-1,GalvPipe-1,rft,33.3,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,361.0,308.8,86.0,Surplus,
17,READY MIX M20,Ready Mix M20,cft,60.5,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,102.0,157.4,5.0,Reorder,
18,PAI-OIL,OIL-PAINT-W,tin,180.1,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,485.0,513.9,151.4,,
19,WC-STD,W.C. Std.,nos,33.6,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,59.5,51.2,42.0,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Mar2017.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: March 2018,,,,,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,,,,,
1,PLY_MR_12MM,MR Ply 12,sht,53.4,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,374.2,1.0,426.5,Reorder,
2,M20 CONCRETE,rmc_m20,cft,113.9,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,50.0,83.0,81.2,Reorder,
3,ARMD-CBL-95,arm_cable_95,mtr,156.2,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,169.5,218.9,106.8,OK,
4,"C.AGG 3/4""",GRAVEL-3/4,cft,132.6,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,237.9,163.0,207.5,Surplus,
5,CEMENT-50,CEMENT-50,bag,145.1,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,131.7,219.7,57.1,,
6,CLEAR GLASS 6,6mm Clear Glass,sft,67.3,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,205.3,153.7,118.9,,
7,ALM-WIN-4,Alum Window 4ft,nos,81.0,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,474.7,133.9,421.8,,
8,GALVPIPE-1,"1"" GI Pipe",rft,22.0,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,474.9,319.7,177.2,Reorder,
9,SAN-WC-STD,W.C. Std.,nos,52.5,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,268.3,42.8,278.0,Reorder,
10,TILE-12X12,TILE-12X12,sft,130.0,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,365.6,241.6,253.6,OK,
11,GENSET-25,GEN-25K,nos,47.6,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,72.3,44.0,75.9,,
12,BRICK-CLA,Class A Brick,1000,149.4,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,151.0,146.4,154.0,,
13,SAND-RIVER,Sand (Fine),cft,128.1,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,388.3,212.0,304.4,Reorder,
14,WIRE-7/029,7/0.029 Copper Wire,mtr,93.0,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,125.8,176.5,42.3,Surplus,
15,WHITE MARBLE IMP.,Marble Wht,sft,161.9,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,410.3,140.5,431.7,,
Store Keeper:,,Site Engr:,,,,,,,inventory\SATTI_APTS_Inventory_Mar2018.xlsx,inventory,SATTI_APTS,,,,,
Project: SATTI_APTS   Month: November 2015,,,,,,,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,,,
1,GEN-25KVA,25 KVA Generator,nos,161.8,88.8,32.8,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,217.8,,
2,GLS-CLR6,Sheesha 6mm,sft,,319.0,446.4,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,60.6,,
3,ALM-WIN-4,ALU-WIN4,nos,1.7,390.4,309.2,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,82.9,,
4,S.BAR 12MM,STL-RB12,kg,48.0,212.0,131.3,,Surplus,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,128.7,,
5,MRB-IMP-W,MAR-W-IMP,sft,20.0,122.3,53.4,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,89.0,,
6,PLY-MR12,PLYWD-12,sht,159.2,86.9,190.0,,Surplus,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,56.4,,
7,"C.AGG 3/4""","C.Agg 3/4""",cft,82.2,207.7,2.6,,Surplus,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,287.3,,
8,SAND (FINE),Reti (River),cft,120.0,232.9,180.1,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,,,
9,WIR-CP3,3/0.029 Copper Wire,mtr,51.4,358.6,320.0,,Reorder,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,90.0,,
10,PAI-OIL-W,Enamel Wh.,tin,,419.0,177.4,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,376.0,,
11,STEEL BAR 16,16mm Steel Rebar,kg,124.4,399.3,159.2,,Surplus,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,364.5,,
12,"CER.TILE 12""",Ceramic Floor Tile 12x12,sft,120.0,226.8,172.9,,,inventory\SATTI_APTS_Inventory_Nov2015.xlsx,inventory,SATTI_APTS,,,173.9,,
